"Commonwealth_Electoral_Division_Name","State","payment_type","amount"
"Brand","Western Australia","age_pension",16149
"Canning","Western Australia","age_pension",18374
"Cowan","Western Australia","age_pension",11987
"Curtin","Western Australia","age_pension",9125
"Durack","Western Australia","age_pension",9486
"Forrest","Western Australia","age_pension",15275
"Fremantle","Western Australia","age_pension",13735
"Hasluck","Western Australia","age_pension",15462
"Moore","Western Australia","age_pension",9813
"O'Connor","Western Australia","age_pension",14335
"Pearce","Western Australia","age_pension",13669
"Perth","Western Australia","age_pension",14320
"Stirling","Western Australia","age_pension",14985
"Swan","Western Australia","age_pension",14325
"Tangney","Western Australia","age_pension",11591
"Bass","Tasmania","age_pension",13010
"Braddon","Tasmania","age_pension",14377
"Denison","Tasmania","age_pension",11300
"Franklin","Tasmania","age_pension",12958
"Lyons","Tasmania","age_pension",14415
"Lingiari","Northern Territory","age_pension",3870
"Solomon","Northern Territory","age_pension",4493
"Canberra","Australian Capital Territory","age_pension",11976
"Fraser","Australian Capital Territory","age_pension",11015
"Unknown","Unknown","austudy",57
"Banks","New South Wales","austudy",303
"Barton","New South Wales","austudy",306
"Bennelong","New South Wales","austudy",422
"Berowra","New South Wales","austudy",232
"Blaxland","New South Wales","austudy",457
"Bradfield","New South Wales","austudy",249
"Calare","New South Wales","austudy",223
"Charlton","New South Wales","austudy",252
"Chifley","New South Wales","austudy",371
"Cook","New South Wales","austudy",225
"Cowper","New South Wales","austudy",295
"Cunningham","New South Wales","austudy",430
"Dobell","New South Wales","austudy",254
"Eden-Monaro","New South Wales","austudy",152
"Farrer","New South Wales","austudy",155
"Fowler","New South Wales","austudy",326
"Gilmore","New South Wales","austudy",183
"Grayndler","New South Wales","austudy",706
"Greenway","New South Wales","austudy",263
"Hughes","New South Wales","austudy",211
"Hume","New South Wales","austudy",161
"Hunter","New South Wales","austudy",131
"Kingsford Smith","New South Wales","austudy",367
"Lindsay","New South Wales","austudy",278
"Lyne","New South Wales","austudy",181
"Macarthur","New South Wales","austudy",245
"Mackellar","New South Wales","austudy",178
"Macquarie","New South Wales","austudy",321
"McMahon","New South Wales","austudy",263
"Mitchell","New South Wales","austudy",247
"New England","New South Wales","austudy",201
"Newcastle","New South Wales","austudy",569
"North Sydney","New South Wales","austudy",286
"Page","New South Wales","austudy",413
"Parkes","New South Wales","austudy",74
"Parramatta","New South Wales","austudy",515
"Paterson","New South Wales","austudy",172
"Reid","New South Wales","austudy",463
"Richmond","New South Wales","austudy",582
"Riverina","New South Wales","austudy",175
"Robertson","New South Wales","austudy",323
